fiscal_year,municipality,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun,annual_total_mt
2020-21,Bolinao,21,24,26,31,29,25,20,22,25,26,29,24,302
2020-21,Lingayen,15,17,19,23,21,18,14,16,18,19,21,17,218
2020-21,Bani,8,9,10,11,11,10,8,8,10,10,11,9,115
2020-21,Alaminos,12,14,15,19,17,15,12,13,15,15,17,14,178
2020-21,Dasol,20,22,25,29,27,24,19,21,24,25,27,22,285
2020-21,Infanta,17,19,21,21,23,20,16,18,20,21,23,19,238
2020-21,San Fabian,11,12,14,17,15,13,10,12,13,14,15,12,158
2021-22,Bolinao,22,25,28,32,31,27,21,24,27,28,31,25,321
2021-22,Lingayen,16,18,20,23,22,19,15,17,19,20,22,18,229
2021-22,Bani,8,10,11,11,12,10,8,9,10,11,12,10,122
2021-22,Alaminos,13,15,16,19,18,16,12,14,16,16,18,15,188
2021-22,Dasol,21,24,27,32,29,25,20,23,25,27,29,24,306
2021-22,Infanta,18,20,22,25,24,21,16,19,21,22,24,20,252
2021-22,San Fabian,12,13,15,17,16,14,11,12,14,15,16,13,168
2022-23,Bolinao,24,27,30,37,33,28,22,26,28,30,33,27,345
2022-23,Lingayen,17,19,21,28,23,20,16,18,20,21,23,19,245
2022-23,Bani,9,10,11,15,12,11,8,10,11,11,12,10,130
2022-23,Alaminos,14,16,17,20,19,17,13,15,17,17,19,16,200
2022-23,Dasol,23,26,29,34,31,27,21,24,27,29,31,26,328
2022-23,Infanta,19,21,23,29,26,22,18,20,22,23,26,21,270
2022-23,San Fabian,13,14,16,18,17,15,12,13,15,16,17,14,180
2023-24,Bolinao,26,29,32,39,36,31,24,27,31,32,36,29,372
2023-24,Lingayen,18,21,23,27,25,22,17,20,22,23,25,21,264
2023-24,Bani,10,11,12,15,13,11,9,10,11,12,13,11,138
2023-24,Alaminos,15,17,19,20,21,18,14,16,18,19,21,17,215
2023-24,Dasol,24,28,31,35,34,29,23,26,29,31,34,28,352
2023-24,Infanta,20,23,25,29,28,24,19,21,24,25,28,23,289
2023-24,San Fabian,13,15,17,21,18,16,13,14,16,17,18,15,193
2024-25,Bolinao,28,31,34,41,38,33,26,29,33,34,38,31,396
2024-25,Lingayen,19,22,24,30,27,23,18,21,23,24,27,22,280
2024-25,Bani,10,11,13,15,14,12,10,11,12,13,14,11,146
2024-25,Alaminos,16,18,20,22,22,19,15,17,19,20,22,18,228
2024-25,Dasol,26,29,33,38,36,31,24,28,31,33,36,29,374
2024-25,Infanta,21,24,27,32,29,25,20,23,25,27,29,24,306
2024-25,San Fabian,14,16,18,20,20,17,13,15,17,18,20,16,204
